name,symbol,tv_symbol,eod_symbol,y_symbol
Pioneers Properties (PRDC),PRDC,EGX:PRDC,PRDC.CA,PRDC.CA
Memphis Pharmaceuticals (MPCI),MPCI,EGX:MPCI,MPCI.CA,MPCI.CA
El-Nasr Clothing & Textiles (KABO),KABO,EGX:KABO,KABO.CA,KABO.CA
AJWA For Food Industries,AJWA,EGX:AJWA,AJWA.CA,AJWA.CA
Kafr El Zayat For Pesticides & Chemicals (KZPC),KZPC,EGX:KZPC,KZPC.CA,KZPC.CA
Arab Developers Holding,ARAB,EGX:ARAB,ARAB.CA,ARAB.CA
Naeem Holding (NAHO),NAHO,EGX:NAHO,NAHO.CA,NAHO.CA
United Co. for Housing & Development (UNIT),UNIT,EGX:UNIT,UNIT.CA,UNIT.CA
October Pharma (OCPH),OCPH,EGX:OCPH,OCPH.CA,OCPH.CA
The Arab Drug Company (ADCI),ADCI,EGX:ADCI,ADCI.CA,ADCI.CA
Cairo for Housing and Development (ELKA),ELKA,EGX:ELKA,ELKA.CA,ELKA.CA
Alexandria Flour Mills (AFMC),AFMC,EGX:AFMC,AFMC.CA,AFMC.CA
Nozha International Hospital (NINH),NINH,EGX:NINH,NINH.CA,NINH.CA
Lecico Egypt (LCSW),LCSW,EGX:LCSW,LCSW.CA,LCSW.CA
Arabia Cotton Ginning (ACGC),ACGC,EGX:ACGC,ACGC.CA,ACGC.CA
ASEC Company for Mining (ASCM),ASCM,EGX:ASCM,ASCM.CA,ASCM.CA
Samad Misr (SMFR),SMFR,EGX:SMFR,SMFR.CA,SMFR.CA
East Delta Flour Mills (EDFM),EDFM,EGX:EDFM,EDFM.CA,EDFM.CA
Al Shams Housing & Urbanization (ELSH),ELSH,EGX:ELSH,ELSH.CA,ELSH.CA
Macro Group Pharmaceuticals (MCRO),MCRO,EGX:MCRO,MCRO.CA,MCRO.CA
Arab Company For Land Reclamation (EALR),EALR,EGX:EALR,EALR.CA,EALR.CA
Nasr Company for Civil Works (NCCW),NCCW,EGX:NCCW,NCCW.CA,NCCW.CA
Al Ezz Ceramics & Porcelain (ECAP),ECAP,EGX:ECAP,ECAP.CA,ECAP.CA
Arab Moltaqa Investments (AMIA),AMIA,EGX:AMIA,AMIA.CA,AMIA.CA
Al Tawfeek Leasing (ATLC),ATLC,EGX:ATLC,ATLC.CA,ATLC.CA
Go Green For Agricultural Investment (GGRN),GGRN,EGX:GGRN,GGRN.CA,GGRN.CA
Ismailia national company for food industries (INFI),INFI,EGX:INFI,INFI.CA,INFI.CA
Sharkia National Company for Food Security (SNFC),SNFC,EGX:SNFC,SNFC.CA,SNFC.CA
Development & Engineering Consultants (DAPH),DAPH,EGX:DAPH,DAPH.CA,DAPH.CA
Wadi Kom Ombo (WKOL),WKOL,EGX:WKOL,WKOL.CA,WKOL.CA
Raya Customer Experience (RACC),RACC,EGX:RACC,RACC.CA,RACC.CA
Ismailia Development and Real Estate (IDRE),IDRE,EGX:IDRE,IDRE.CA,IDRE.CA
The Arab Dairy Products Co. (ADPC),ADPC,EGX:ADPC,ADPC.CA,ADPC.CA
Middle Egypt Flour Mills (CEFM),CEFM,EGX:CEFM,CEFM.CA,CEFM.CA
The Arab Ceramic Co. (CERA),CERA,EGX:CERA,CERA.CA,CERA.CA
